,科技馆(地铁站),交通设施服务,地铁站,地铁站.1,广东省,深圳市,宝安区,113.778501,22.71552,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13
83,光明(地铁站),交通设施服务,地铁站,地铁站,广东省,深圳市,光明区,113.945204,22.7716,,,,,
84,月亮路(地铁站),交通设施服务,地铁站,地铁站,广东省,深圳市,光明区,113.910966,22.755765,,,,,
85,长圳(地铁站),交通设施服务,地铁站,地铁站,广东省,深圳市,光明区,113.930926,22.726332,,,,,
86,市中医院(地铁站),交通设施服务,地铁站,地铁站,广东省,深圳市,光明区,113.942896,22.726465,,,,,
87,同观路(地铁站),交通设施服务,地铁站,地铁站,广东省,深圳市,光明区,113.935205,22.738686,,,,,
88,宝石路(地铁站),交通设施服务,地铁站,地铁站,广东省,深圳市,宝安区,113.938119,22.680007,,,,,
89,上屋(地铁站),交通设施服务,地铁站,地铁站,广东省,深圳市,宝安区,113.938536,22.689097,,,,,
90,罗租(地铁站),交通设施服务,地铁站,地铁站,广东省,深圳市,宝安区,113.934056,22.668071,,,,,
91,官田(地铁站),交通设施服务,地铁站,地铁站,广东省,深圳市,宝安区,113.949663,22.683253,,,,,
92,应人石(地铁站),交通设施服务,地铁站,地铁站,广东省,深圳市,宝安区,113.926469,22.649139,,,,,
93,白芒(地铁站),交通设施服务,地铁站,地铁站,广东省,深圳市,南山区,113.938877,22.622922,,,,,
94,兴东(地铁站),交通设施服务,地铁站,地铁站,广东省,深圳市,宝安区,113.919013,22.581822,,,,,
95,西丽火车站(地铁站),交通设施服务,地铁站,地铁站,广东省,深圳市,南山区,113.943524,22.566903,,,,,
96,同乐(地铁站),交通设施服务,地铁站,地铁站,广东省,深圳市,南山区,113.918684,22.55716,,,,,
97,松坪(地铁站),交通设施服务,地铁站,地铁站,广东省,深圳市,南山区,113.945561,22.556935,,,,,
98,中山公园(地铁站),交通设施服务,地铁站,地铁站,广东省,深圳市,南山区,113.923342,22.54655,,,,,
99,石鼓(地铁站),交通设施服务,地铁站,地铁站,广东省,深圳市,南山区,113.944108,22.575174,,,,,
100,新安公园(地铁站),交通设施服务,地铁站,地铁站,广东省,深圳市,宝安区,113.911652,22.561418,,,,,
101,科兴(地铁站),交通设施服务,地铁站,地铁站,广东省,深圳市,南山区,113.945389,22.546913,,,,,
102,留仙洞(地铁站),交通设施服务,地铁站,地铁站,广东省,深圳市,南山区,113.943543,22.580534,,,,,
103,南山书城(地铁站),交通设施服务,地铁站,地铁站,广东省,深圳市,南山区,113.92834,22.518589,,,,,
104,深大南(地铁站),交通设施服务,地铁站,地铁站,广东省,深圳市,南山区,113.935675,22.526016,,,,,
105,南山(地铁站),交通设施服务,地铁站,地铁站,广东省,深圳市,南山区,113.923596,22.524022,,,,,
106,创业路(地铁站),交通设施服务,地铁站,地铁站,广东省,深圳市,南山区,113.92454,22.516471,,,,,
107,后海(地铁站),交通设施服务,地铁站,地铁站,广东省,深圳市,南山区,113.942498,22.518422,,,,,
108,桃园(地铁站),交通设施服务,地铁站,地铁站,广东省,深圳市,南山区,113.924857,22.532357,,,,,
109,南油(地铁站),交通设施服务,地铁站,地铁站,广东省,深圳市,南山区,113.925747,22.510197,,,,,
110,登良(地铁站),交通设施服务,地铁站,地铁站,广东省,深圳市,南山区,113.937602,22.509146,,,,,
111,登良东(地铁站),交通设施服务,地铁站,地铁站,广东省,深圳市,南山区,113.943077,22.512122,,,,,
112,科苑(地铁站),交通设施服务,地铁站,地铁站,广东省,深圳市,南山区,113.946195,22.527019,,,,,
113,粤海门(地铁站),交通设施服务,地铁站,地铁站,广东省,深圳市,南山区,113.945531,22.532695,,,,,
114,南油西(地铁站),交通设施服务,地铁站,地铁站,广东省,深圳市,南山区,113.918402,22.509074,,,,,
115,大新(地铁站),交通设施服务,地铁站,地铁站,广东省,深圳市,南山区,113.915072,22.532232,,,,,
116,荔林(地铁站),交通设施服务,地铁站,地铁站,广东省,深圳市,南山区,113.913128,22.511903,,,,,
117,南头古城(地铁站),交通设施服务,地铁站,地铁站,广东省,深圳市,南山区,113.922954,22.540087,,,,,
118,高新南(地铁站),交通设施服务,地铁站,地铁站,广东省,深圳市,南山区,113.950079,22.532797,,,,,
119,深大(地铁站),交通设施服务,地铁站,地铁站,广东省,深圳市,南山区,113.944173,22.538667,,,,,
120,东角头(地铁站),交通设施服务,地铁站,地铁站,广东省,深圳市,南山区,113.931149,22.486325,,,,,
121,水湾(地铁站),交通设施服务,地铁站,地铁站,广东省,深圳市,南山区,113.919686,22.488389,,,,,
122,湾厦(地铁站),交通设施服务,地铁站,地铁站,广东省,深圳市,南山区,113.938604,22.493353,,,,,
123,海上世界(地铁站),交通设施服务,地铁站,地铁站,广东省,深圳市,南山区,113.915111,22.485101,,,,,
124,工业六路(地铁站),交通设施服务,地铁站,地铁站,广东省,深圳市,南山区,113.918184,22.4933,,,,,
125,蛇口港(地铁站),交通设施服务,地铁站,地铁站,广东省,深圳市,南山区,113.912331,22.476626,,,,,
126,海月(地铁站),交通设施服务,地铁站,地铁站,广东省,深圳市,南山区,113.937715,22.500409,,,,,
127,四海(地铁站),交通设施服务,地铁站,地铁站,广东省,深圳市,南山区,113.921896,22.500242,,,,,
