,儿童沙池乐园,体育休闲服务,体育休闲服务场所,体育休闲服务场所.1,广东省,深圳市,宝安区,113.770846,22.727371,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13
74,欢乐居儿童游乐园,体育休闲服务,休闲场所,游乐场,广东省,深圳市,福田区,114.098217,22.534028,,,,,
75,考拉大冒险儿童乐园,体育休闲服务,休闲场所,游乐场,广东省,深圳市,龙岗区,114.125754,22.681789,,,,,
76,萨比奇儿童乐园(平湖荟港城店),体育休闲服务,休闲场所,游乐场,广东省,深圳市,龙岗区,114.140541,22.687075,,,,,
77,象博士儿童乐园,体育休闲服务,休闲场所,游乐场,广东省,深圳市,龙岗区,114.134266,22.692161,,,,,
78,儿童爬山车(龙山路),体育休闲服务,休闲场所,游乐场,广东省,深圳市,龙岗区,114.141697,22.597662,,,,,
79,儿童乐园,体育休闲服务,娱乐场所,娱乐场所,广东省,深圳市,罗湖区,114.172677,22.603338,,,,,
80,萨比奇儿童乐园(南湾樟树布店),体育休闲服务,休闲场所,游乐场,广东省,深圳市,龙岗区,114.15627,22.607494,,,,,
81,儿童游乐场,体育休闲服务,休闲场所,游乐场,广东省,深圳市,罗湖区,114.169965,22.561731,,,,,
82,微跑小熊儿童运动馆,体育休闲服务,体育休闲服务场所,体育休闲服务场所,广东省,深圳市,罗湖区,114.167989,22.561402,,,,,
83,巧手多多儿童手工益智乐园,体育休闲服务,休闲场所,游乐场,广东省,深圳市,龙岗区,114.223903,22.723713,,,,,
84,群爱园儿童娱教主题乐园,体育休闲服务,运动场馆,运动场所,广东省,深圳市,龙岗区,114.210695,22.64437,,,,,
85,松柏儿童乐园,体育休闲服务,休闲场所,游乐场,广东省,深圳市,龙岗区,114.205593,22.643493,,,,,
86,海星儿童游乐园,体育休闲服务,休闲场所,游乐场,广东省,深圳市,龙岗区,114.234236,22.751127,,,,,
