112,阿彬正宗隆江猪脚饭,餐饮服务,中餐厅,中餐厅,广东省,深圳市,宝安区,113.805251,22.761514
113,杂杂跳钓虾馆,餐饮服务,中餐厅,海鲜酒楼,广东省,深圳市,宝安区,113.80875,22.76047
114,常德牛肉粉(同富33号店),餐饮服务,中餐厅,中餐厅,广东省,深圳市,宝安区,113.809878,22.763126
115,66寿司,餐饮服务,外国餐厅,外国餐厅,广东省,深圳市,宝安区,113.809386,22.721998
116,鲁班烧烤店,餐饮服务,中餐厅,特色/地方风味餐厅,广东省,深圳市,宝安区,113.809234,22.722449
117,林记正宗隆江猪脚饭(沙中路),餐饮服务,中餐厅,中餐厅,广东省,深圳市,宝安区,113.80999,22.722506
118,荣记化州鸡,餐饮服务,中餐厅,中餐厅,广东省,深圳市,宝安区,113.809692,22.723591
119,松记隆江猪脚饭(建兴工业城店),餐饮服务,中餐厅,中餐厅,广东省,深圳市,宝安区,113.811366,22.722964
120,永记潮汕卤肉饭(松山店),餐饮服务,中餐厅,潮州菜,广东省,深圳市,宝安区,113.80963,22.722482
121,味道功夫城市快餐(茭塘店),餐饮服务,中餐厅,中餐厅,广东省,深圳市,宝安区,113.809677,22.722634
122,化隆拉面,餐饮服务,中餐厅,清真菜馆,广东省,深圳市,宝安区,113.809869,22.722498
123,柳叶湖(马鞍山店),餐饮服务,中餐厅,火锅店,广东省,深圳市,宝安区,113.814612,22.720565
124,湖南津市牛肉粉,餐饮服务,中餐厅,湖南菜(湘菜),广东省,深圳市,宝安区,113.809703,22.722487
125,沙县营养小吃,餐饮服务,中餐厅,特色/地方风味餐厅,广东省,深圳市,宝安区,113.809606,22.72248
126,五谷鱼粉,餐饮服务,中餐厅,中餐厅,广东省,深圳市,宝安区,113.809773,22.722491
127,遇见·茶,餐饮服务,中餐厅,中餐厅,广东省,深圳市,宝安区,113.809073,22.721513
128,山东人家,餐饮服务,中餐厅,山东菜(鲁菜),广东省,深圳市,宝安区,113.812752,22.726369
129,猪脚饭快餐,餐饮服务,快餐厅,快餐厅,广东省,深圳市,宝安区,113.811149,22.723063
130,新亨粿条汤(沙中路店),餐饮服务,中餐厅,中餐厅,广东省,深圳市,宝安区,113.808969,22.722588
131,好运牛汕头牛肉店,餐饮服务,中餐厅,火锅店,广东省,深圳市,宝安区,113.80662,22.725449
132,串掌门砂锅串串香(沙井店),餐饮服务,中餐厅,火锅店,广东省,深圳市,宝安区,113.807545,22.721794
133,荣记砂锅粥烤羊腿,餐饮服务,中餐厅,中餐厅,广东省,深圳市,宝安区,113.806233,22.724003
134,粮好牛腩(沙井店),餐饮服务,中餐厅,中餐厅,广东省,深圳市,宝安区,113.807675,22.716154
135,永和豆浆(金沙店),餐饮服务,快餐厅,永和豆浆,广东省,深圳市,宝安区,113.807272,22.723081
136,潮汕原味汤粉王,餐饮服务,中餐厅,潮州菜,广东省,深圳市,宝安区,113.8164,22.71986
137,好兄弟草原碳烤羊腿(沙井旗舰店),餐饮服务,中餐厅,中餐厅,广东省,深圳市,宝安区,113.806578,22.725298
138,汉堡王(星河荣御店),餐饮服务,快餐厅,快餐厅,广东省,深圳市,宝安区,113.806341,22.722582
139,百家赞鹅家(沙井星河店),餐饮服务,中餐厅,中餐厅,广东省,深圳市,宝安区,113.80746,22.722553
140,梁记猪杂粥,餐饮服务,中餐厅,中餐厅,广东省,深圳市,宝安区,113.805096,22.722823
141,台资味·卤肉饭(沙井店),餐饮服务,快餐厅,快餐厅,广东省,深圳市,宝安区,113.809235,22.727098
142,儿时的味道,餐饮服务,中餐厅,中餐厅,广东省,深圳市,宝安区,113.809388,22.722387
143,首尔·韩式炸鸡(沙井京基百纳店),餐饮服务,外国餐厅,外国餐厅,广东省,深圳市,宝安区,113.809517,22.721289
144,第9味老上海馄饨铺(沙井街道店),餐饮服务,中餐厅,中餐厅,广东省,深圳市,宝安区,113.815267,22.719837
145,大众快餐小炒,餐饮服务,中餐厅,云贵菜,广东省,深圳市,宝安区,113.816426,22.719961
146,东江海辉酒楼(沙井店),餐饮服务,中餐厅,海鲜酒楼,广东省,深圳市,宝安区,113.801379,22.718749
147,肥仔虾庄·烤全羊(沙井总店),餐饮服务,中餐厅,中餐厅,广东省,深圳市,宝安区,113.80643,22.724329
148,卤之味饭,餐饮服务,快餐厅,快餐厅,广东省,深圳市,宝安区,113.815313,22.719555
149,蔡记潮州大排档砂锅粥,餐饮服务,中餐厅,中餐厅,广东省,深圳市,宝安区,113.809615,22.718122
150,舒芙蕾Soufflé,餐饮服务,快餐厅,快餐厅,广东省,深圳市,宝安区,113.806979,22.723281
151,净行素食(沙井店),餐饮服务,中餐厅,中式素菜馆,广东省,深圳市,宝安区,113.806676,22.716574
152,王者荣耀烧烤,餐饮服务,中餐厅,特色/地方风味餐厅,广东省,深圳市,宝安区,113.805485,22.722258
153,望湖香,餐饮服务,中餐厅,中餐厅,广东省,深圳市,宝安区,113.811951,22.680052
154,紫金八刀汤(大洋路店),餐饮服务,中餐厅,中餐厅,广东省,深圳市,宝安区,113.810394,22.684541
155,鱼羊轩(中山脆肉鲩·雷州羊肉火锅)(福永桥头店),餐饮服务,中餐厅,中餐厅,广东省,深圳市,宝安区,113.808441,22.682926
156,立新煲仔饭,餐饮服务,中餐厅,中餐厅,广东省,深圳市,宝安区,113.810519,22.684581
157,桥头海鲜美食街公寓,餐饮服务,中餐厅,中餐厅,广东省,深圳市,宝安区,113.808347,22.682496
158,福永桥头海鲜美食街(福永桥头海鲜市场),餐饮服务,中餐厅,海鲜酒楼,广东省,深圳市,宝安区,113.808999,22.683396
159,仙庙烧鸡(桥头店),餐饮服务,中餐厅,中餐厅,广东省,深圳市,宝安区,113.808666,22.683007
160,桥头柳州螺蛳粉,餐饮服务,中餐厅,中餐厅,广东省,深圳市,宝安区,113.809247,22.681647
161,有渡三文鱼,餐饮服务,外国餐厅,日本料理,广东省,深圳市,宝安区,113.808697,22.683012
162,娘亲下厨(桥头旗舰店),餐饮服务,中餐厅,中餐厅,广东省,深圳市,宝安区,113.807772,22.6839
163,山海天海鲜酒楼(桥头店),餐饮服务,中餐厅,海鲜酒楼,广东省,深圳市,宝安区,113.80692,22.682633
164,新隆海鲜酒楼,餐饮服务,中餐厅,海鲜酒楼,广东省,深圳市,宝安区,113.808937,22.68338
