0,1,2,3,4
"114.047649,22.669316",龙华街道,"[42.57199084551285, 123.84359335548184]",257.90047574999900,19.5901254
"114.039745,22.681804",福城街道,"[9.008598278763326, 271.92728446389475]",96.72038350000030,6.83031416
"114.045578,22.635213",龙华街道,"[42.57199084551285, 123.84359335548184]",324.5713997499920,24.8681247
"114.050242,22.599881",民治街道,"[51.614691967811865, 124.956083947584]",455.1315023999990,35.2039065
"114.053585,22.561009",莲花街道,"[152.6911089694988, 81.62135239423537]",480.21306299999600,37.1894866
"114.046622,22.55585",莲花街道,"[152.6911089694988, 81.62135239423537]",395.84031299999300,30.5101234
"114.042455,22.565415",梅林街道,"[71.31097257275789, 80.66933130390663]",648.9958080000090,50.5511613
"114.039705,22.56154",梅林街道,"[71.31097257275789, 80.66933130390663]",612.3990720000080,47.6539832
"114.042437,22.565397",梅林街道,"[71.31097257275789, 80.66933130390663]",672.0955200000090,52.3798485
"114.056263,22.566573",梅林街道,"[71.31097257275789, 80.66933130390663]",843.8335680000080,65.9754796
"114.052015,22.519754",福保街道,"[295.56312454836143, 55.44930936819172]",696.0794000000090,54.2785308
"114.044344,22.525442",沙头街道,"[88.2522953351292, 106.79305580693818]",666.3475237000050,51.9248088
"114.090304,22.722202",观澜街道,"[14.507715806409418, 218.88936431226793]",157.42352625000000,11.6358744
"114.089073,22.723887",观澜街道,"[14.507715806409418, 218.88936431226793]",152.4286400000000,11.2404546
"114.091158,22.698773",观湖街道,"[19.379211675943775, 176.6422835249042]",317.848406499997,24.3358994
"114.097404,22.698619",平湖街道,"[12.459161034326636, 265.9254430379747]",181.0923107500000,13.5096122
"114.079119,22.682974",观湖街道,"[19.379211675943775, 176.6422835249042]",183.49269000000000,13.699638
"114.076385,22.635472",坂田街道,"[38.57775055364517, 149.25012029569882]",158.00220925000000,11.6816858
"114.105772,22.599459",布吉街道,"[53.64180114934915, 134.1085563139932]",217.80839999999800,16.4162389
"114.111006,22.598584",布吉街道,"[53.64180114934915, 134.1085563139932]",683.5579536000030,53.2872713
"114.107853,22.590164",布吉街道,"[53.64180114934915, 134.1085563139932]",224.00999999999900,16.9071882
"114.091258,22.568112",清水河街道,"[24.246996897541646, 188.90391330645141]",160.46585375,11.8767201
"114.094265,22.554745",园岭街道,"[189.2309305774517, 79.42746040723986]",201.56063400000100,15.1299856
"114.099967,22.566337",清水河街道,"[24.246996897541646, 188.90391330645141]",455.9389387499970,35.2678272
"114.082723,22.557868",华富街道,"[97.97613786952991, 106.13514826175877]",77.03721570000010,5.27209749
"114.083608,22.55651",华富街道,"[97.97613786952991, 106.13514826175877]",56.6654308999999,3.6593665
"114.097901,22.554144",园岭街道,"[189.2309305774517, 79.42746040723986]",459.192590999992,35.5254023
"114.100707,22.556975",园岭街道,"[189.2309305774517, 79.42746040723986]",964.7935110000180,75.5512655
"114.085842,22.532084",南园街道,"[98.5701826370607, 101.33284803921568]",380.3571420499950,29.2843993
"114.085922,22.532074",南园街道,"[98.5701826370607, 101.33284803921568]",377.2491068499950,29.0383519
"114.088185,22.533578",南园街道,"[98.5701826370607, 101.33284803921568]",645.4134396000210,50.2675634
"114.093521,22.537113",南园街道,"[98.5701826370607, 101.33284803921568]",728.8934147000140,56.8762501
"114.078731,22.531532",福田街道,"[219.38099433054813, 73.20728333846628]",673.3519000000090,52.4793097
"114.074974,22.524424",福田街道,"[219.38099433054813, 73.20728333846628]",111.74140000000000,8.01945193
"114.088003,22.538195",南园街道,"[98.5701826370607, 101.33284803921568]",1248.6036570500200,98.0190768
"114.129082,22.691921",平湖街道,"[12.459161034326636, 265.9254430379747]",646.2226705000110,50.3316261
"114.142361,22.689601",平湖街道,"[12.459161034326636, 265.9254430379747]",367.33934049999700,28.2538459
"114.127022,22.668845",平湖街道,"[12.459161034326636, 265.9254430379747]",373.2843787499940,28.7244844
"114.135351,22.638672",南湾街道,"[24.08458611209362, 187.7006895200785]",118.6660247500000,8.56763938
"114.141909,22.627928",南湾街道,"[24.08458611209362, 187.7006895200785]",200.75164874999900,15.0659423
"114.125071,22.602289",布吉街道,"[53.64180114934915, 134.1085563139932]",491.11655999999200,38.0526612
"114.150211,22.611924",南湾街道,"[24.08458611209362, 187.7006895200785]",662.2024257500100,51.5966624
"114.123305,22.606577",布吉街道,"[53.64180114934915, 134.1085563139932]",520.988025599994,40.4174338
"114.14155,22.609737",南湾街道,"[24.08458611209362, 187.7006895200785]",633.320079250009,49.3101933
"114.139726,22.612228",布吉街道,"[53.64180114934915, 134.1085563139932]",528.9221520000020,41.0455384
"114.130225,22.561233",翠竹街道,"[69.56978754482287, 118.96869895287958]",492.1931759999900,38.1378914
"114.124402,22.561478",翠竹街道,"[69.56978754482287, 118.96869895287958]",884.5985952000220,69.2026403
"114.127819,22.554173",翠竹街道,"[69.56978754482287, 118.96869895287958]",640.6188960000180,49.8880037
"114.15267,22.676958",平湖街道,"[12.459161034326636, 265.9254430379747]",278.73802749999900,21.2397288
"114.189114,22.635239",横岗街道,"[25.687830743709874, 164.86717]",785.527065250003,61.3596492
"114.162162,22.609459",南湾街道,"[24.08458611209362, 187.7006895200785]",297.2499269999980,22.7052221
"114.157915,22.612114",南湾街道,"[24.08458611209362, 187.7006895200785]",436.6345539999940,33.7395968
"114.157067,22.60433",南湾街道,"[24.08458611209362, 187.7006895200785]",338.73234674999600,25.9891751
"114.174151,22.56116",莲塘街道,"[29.405523784005705, 154.1459669291339]",477.4018327499980,36.9669357
"114.169306,22.566331",莲塘街道,"[29.405523784005705, 154.1459669291339]",455.11251949999700,35.2024037
"114.164441,22.564215",莲塘街道,"[29.405523784005705, 154.1459669291339]",341.2782089999970,26.1907181
"114.179259,22.564981",莲塘街道,"[29.405523784005705, 154.1459669291339]",140.95894800000100,10.3324572
"114.159835,22.557893",莲塘街道,"[29.405523784005705, 154.1459669291339]",44.17006475000000,2.67017167
"114.221607,22.721394",龙城街道,"[36.81578324639935, 158.9859040289725]",346.6647802499970,26.6171457
"114.226137,22.677463",园山街道,"[9.706506979144569, 256.5422577903686]",205.05106850000000,15.4063056
"114.204007,22.64999",横岗街道,"[25.687830743709874, 164.86717]",1140.910356500000,89.4935438
"114.199587,22.644604",横岗街道,"[25.687830743709874, 164.86717]",794.6840107500190,62.0845582
"114.205413,22.650883",横岗街道,"[25.687830743709874, 164.86717]",1000.8299922500100,78.4040911
"114.222907,22.618912",园山街道,"[9.706506979144569, 256.5422577903686]",199.67586874999900,14.9807783
